Project_name,Tool_name,CWE_ID,Number of Findings,Is_In_CWE_Top_25?
django,bandit,CWE-703,69,No
django,bandit,CWE-259,397,No
django,bandit,CWE-838,3,No
django,bandit,CWE-80,65,No
django,bandit,CWE-79,190,Yes
django,bandit,CWE-327,15,No
django,bandit,CWE-89,78,Yes
django,bandit,CWE-502,116,Yes
django,bandit,CWE-330,12,No
django,bandit,CWE-78,41,Yes
django,bandit,CWE-605,6,No
django,bandit,CWE-20,55,Yes
django,bandit,CWE-400,1,Yes
django,bandit,CWE-377,21,No
django,bandit,CWE-22,7,Yes
django,bandit,CWE-732,1,No
django,semgrep,CWE-601,2,No
django,semgrep,CWE-532,1,No
django,semgrep,CWE-327,6,No
django,dlint,CWE-79,6,Yes
django,dlint,CWE-502,3,Yes
django,dlint,CWE-89,13,Yes
django,dlint,CWE-327,2,No
pandas,bandit,CWE-703,17274,No
pandas,bandit,CWE-330,1,No
pandas,bandit,CWE-502,44,Yes
pandas,bandit,CWE-89,16,Yes
pandas,bandit,CWE-78,71,Yes
pandas,bandit,CWE-22,1,Yes
pandas,bandit,CWE-94,4,Yes
pandas,bandit,CWE-20,24,Yes
pandas,bandit,CWE-377,1,No
pandas,semgrep,CWE-116,3,No
pandas,semgrep,CWE-611,1,Yes
pandas,dlint,CWE-327,25,No
pandas,dlint,CWE-89,15,Yes
scikit-learn,bandit,CWE-502,81,Yes
scikit-learn,bandit,CWE-703,7250,No
scikit-learn,bandit,CWE-377,1,No
scikit-learn,bandit,CWE-22,9,Yes
scikit-learn,bandit,CWE-78,22,Yes
scikit-learn,bandit,CWE-400,7,Yes
scikit-learn,bandit,CWE-94,1,Yes
scikit-learn,bandit,CWE-327,1,No
scikit-learn,bandit,CWE-330,2,No
scikit-learn,bandit,CWE-259,4,No
scikit-learn,semgrep,CWE-78,1,Yes
scikit-learn,semgrep,CWE-116,1,No
scikit-learn,semgrep,CWE-327,1,No
scikit-learn,dlint,CWE-79,5,Yes
